accel_STD,accel_RMS,accel_DomFreq1,accel_DomFreq2,ang_STD,ang_RMS,ang_DomFreq1,ang_DomFreq2,TargetSpeed
0.911712546146569,1.5652927821260576,0.5046131271440824,0.5214335647155517,0.8111965681958967,1.142636356118451,0.5046131271440824,0.5214335647155517,0
0.7883672811726412,1.7697034817231785,1.6885404758502427,1.6716550710917404,0.38570448567026616,0.8030188392549374,2.448383689982852,2.4652690947413545,0
0.8295701538212404,2.2444247592646094,1.591766156705748,1.5750107234772663,0.5391981565007249,1.0747999813918867,1.625277023162711,1.6085215899342296,0
1.2128616165431092,2.975139002354904,1.7440612478534632,1.7272914281625644,0.6471207645126307,1.4804175931135106,1.7272914281625644,1.7105216084716657,0
1.4603518888341636,3.384766091442056,1.7646325380248502,1.747826513853185,0.664236529035685,1.6206379052450341,1.747826513853185,1.7646325380248502,0
1.3541493195449381,3.4180149416114083,1.7636250401441622,1.780421469097916,0.6523233354169486,1.6040861981577959,1.7636250401441622,1.780421469097916,0
1.3733851473220673,3.3474048906689924,1.796192381419401,1.8129792261055635,0.6403068091735576,1.6095339651781941,1.796192381419401,1.8129792261055635,0
1.3875457791138932,3.3024698414886258,1.7956800618582431,1.7788980052053625,0.6548303262611228,1.6225450015816747,1.7621159485524815,1.7453338918996009,0
1.2940841039090967,3.2258186905135244,1.7799133579480593,1.7967049934003994,0.6316976090244882,1.5230946875968978,1.7799133579480593,1.7967049934003994,0
1.5512944321884647,3.7597489942814004,1.760327253218884,1.7770922746781115,0.6503840864560319,1.6487640573067652,1.7435622317596566,1.760327253218884,0
1.7032025899118433,3.829597237308383,1.8284336530203265,1.8452082736902378,0.6762493941616147,1.8526817274786658,1.8284336530203265,1.8116590323504151,0
1.851033798126976,4.113390137494438,1.8507772286960251,1.8676024762296253,0.7203434061670438,1.970287170762097,1.8507772286960251,1.8676024762296253,0
1.6927514992374657,4.0854948190723075,1.8928226843910805,1.9095733276157802,0.7388536606890357,1.8627148645637277,1.8928226843910805,1.9095733276157802,0
1.7541894991486784,4.220377556805991,1.8817372215876642,1.8985384467804112,0.6882557781156499,1.9583159205841325,1.8649359963949173,1.8481347712021703,0
1.837553757280099,4.166987420987333,1.8420441554729925,1.8587900114318379,0.6775929557375971,1.9076460188759687,1.8252982995141471,1.8085524435553015,0
1.7199564095094468,4.333506038225092,1.8394156678082192,1.8561376284246576,0.7988980939147212,1.9558820473978826,1.8226937071917808,1.8394156678082192,0
1.6906606459876996,4.066011405542292,1.8441523605150214,1.8609173819742488,0.6756407944749774,1.9529862817405212,1.8944474248927037,1.8776824034334763,0
